0	1
0	2
0	3
0	4
0	5
0	6
0	8
0	9
0	10
0	11
0	12
0	13
0	15
0	17
0	24
0	25
0	26
0	27
0	30
0	31
0	40
0	41
0	45
0	47
0	50
0	52
0	53
0	55
1	2
1	3
1	4
1	5
1	6
1	8
1	9
1	10
1	11
1	15
1	16
1	19
1	20
1	21
1	22
1	25
1	26
1	33
1	37
1	39
1	41
1	46
1	50
1	52
1	59
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	13
2	14
2	15
2	16
2	18
2	19
2	21
2	22
2	25
2	26
2	27
2	28
2	29
2	30
2	31
2	34
2	36
2	37
2	39
2	40
2	43
2	44
2	46
2	49
2	50
2	51
2	53
2	54
2	55
2	56
2	57
2	58
2	60
2	61
3	4
3	5
3	7
3	11
3	12
3	13
3	15
3	17
3	19
3	20
3	23
3	24
3	25
3	27
3	36
3	41
3	44
3	53
4	5
4	6
4	10
4	12
4	14
4	15
4	18
4	20
4	21
4	25
4	26
4	33
4	35
4	36
4	37
4	44
4	47
4	55
4	56
4	59
5	8
5	9
5	10
5	12
5	15
5	16
5	20
5	21
5	22
5	27
5	28
5	32
5	38
5	41
5	42
5	45
5	46
5	48
6	8
6	10
6	13
6	14
6	16
6	20
6	21
6	23
6	25
6	26
6	29
6	34
6	38
6	40
6	41
6	42
6	44
6	53
6	57
6	58
6	60
7	8
7	9
7	11
7	12
7	13
7	15
7	18
7	23
7	24
7	26
7	28
7	30
7	32
7	34
7	38
7	39
7	53
7	54
7	56
7	60
8	10
8	14
8	16
8	18
8	23
8	24
8	27
8	28
8	37
8	42
8	45
8	48
8	50
8	51
8	52
8	55
8	60
8	61
9	29
9	34
9	40
9	57
10	19
10	31
10	33
10	36
10	38
11	13
11	17
11	19
11	20
11	21
11	22
11	23
11	24
11	25
11	28
11	33
11	34
11	36
11	38
11	42
11	47
11	49
11	50
11	55
11	56
12	14
12	17
12	22
12	30
12	31
12	35
12	48
13	14
13	15
13	16
13	17
13	18
13	19
13	22
13	27
13	28
13	30
13	31
13	35
13	42
13	46
13	47
13	53
13	58
13	59
14	23
14	24
14	26
14	29
14	30
14	31
14	39
14	41
14	46
14	51
14	52
15	16
15	19
15	21
15	46
15	47
15	48
15	52
15	58
15	60
16	17
16	21
16	31
16	32
16	33
16	39
16	44
16	45
16	48
16	49
16	54
16	58
17	18
17	25
17	31
17	33
17	36
18	19
18	35
18	43
19	20
19	43
20	27
20	33
20	45
21	22
21	24
21	34
21	51
21	57
22	34
22	38
22	39
22	40
22	50
23	35
23	37
23	44
23	53
23	57
24	45
25	45
26	29
26	34
26	37
26	42
26	55
26	58
26	61
27	30
27	40
27	49
28	35
28	41
28	42
28	43
28	47
28	48
28	49
28	51
28	55
29	32
29	36
29	37
29	52
29	54
29	57
30	32
30	40
30	44
30	56
31	32
31	47
31	59
32	43
33	36
33	37
33	56
33	61
34	49
34	54
35	46
35	59
36	39
36	54
37	39
37	48
37	59
38	50
38	60
39	61
40	42
40	49
40	59
41	49
42	43
42	44
42	51
44	59
45	57
46	53
46	56
46	57
47	48
47	51
51	54
51	61
53	54
56	58
